pageTitle,text
Where Do Form Responses Show Up?," Forms will help you capture information about contacts that fill out and submit the form. In order to view this information, start by navigating to ""Sites"" > ""Forms"" (at the top of the screen) > ""Submissions"" where, you will be able to filter or search through form submissions and view the information that was provided on a particular form submission. If you are using custom fields on your forms, those will also be shown in the Contact Details page which you can access by navigating to ""Contacts"" > (then search or click on any Contact). "
Sticky Contact - Form,"Sticky contact is essentially like Google browser's Autofill, if active the fields come pre-filled with info added earlierThey are Embedded cookies into the browser which help to auto fill information inCovered in this article How do Sticky Contacts work? Technical Details: Where to find Sticky Contacts in forms? How do Sticky Contacts work? Sticky Contacts remembers the contact's submission in the browser cookies so it can be transferred to another form, survey, order form or calendar widgetUse this if your customer is filling out the form , not if you or someone on your team is internally filling it outIf someone internal or yourself are filling out the same form and sticky contacts is on, it will overwrite the contact record with the latest submissionTechnical Details: When someone submits a form / survey / calendar / order form on a page, a cookie is created on the browser with their information against that domainWhenever a page which lives on that same domain is opened, the cookie has the information so it gets pre-populatedIf you clear the cookies, then that information will be goneSame for if you try to use the incognito mode of your browser for the second submission, as cookies do not cross over to the Incognito modeIf you use a different domain, then the cookie won't work, and a new submission will need to be made so that a cookie for that specific domain is savedPlease Note: 1If two or more people submit their information using the same browser on the same form / calendar / survey / order form, and sticky contacts is enabled, their information will be overwritten to the same contact in the system2If a person is submitting their information on a different browser, sticky contact will not work for the first time because the cookie won't be created on that browser3Sticky contacts don't work on Hidden fields or Custom fields Where to find Sticky Contacts in forms? Navigate to sites> Forms> Builder> Options> Scroll Down to find the Sticky Contacts toggle"
Manual Call - How to add a Manual Call action (Power Dialer),"In this article, we will cover how to add a Manual Call action in Campaigns and Workflows Covered in this article How to add a Manual Call action in a Workflow. How to add a Manual Call action in a Campaign How to add a Manual Call action in a Workflow. This queue can be found by going to Conversations > Manual Actions. Please Note: - If you delete the lead from the workflow or the system they will be removed from the manual call action queue. - If you would like to hide the call queue from each user please use only assigned data (mentioned @1:16 secs in the video above) How to add a Manual Call action in a Campaign"
How to set up a Manual SMS action,"Are you looking for ways to incorporate personalized communication into your automated workflows? Do you need to add a human touch to your SMS marketing campaigns? SMS marketing has become an essential tool for businesses to reach their customersHowever, automated SMS campaigns can sometimes lack the personalization and human touch that customers craveThis is where manual SMS actions come in handyManual SMS actions are a great way to add the human element and incorporate personalized communication and into your SMS campaignsIn this article, we will explore the benefits of manual SMS actions and how they can be used in various scenarios to enhance your SMS marketing efforts and how to utlize them within the systemIn this article we will cover: Here are a few reasons why someone might want to add a manual SMS action: How to Set Up Manual SMS Action in Workflows Where and how to use Manual Actions on Mobile How can manual call statistics be utilized in workflows ? How to add a Manual SMS action in a Campaigns (depricated) FAQ Where do users go to complete manual actions? Desktop App: Mobile App: Here are a few reasons why someone might want to add a manual SMS action: 1Customer Interaction: Sometimes, it's essential to involve a human touch in customer interactionsBy including a manual SMS action, you can prompt your team to respond personally to customer inquiries, ensuring a more personalized and tailored experience2Approval Processes: In certain workflows, especially those involving critical decisions or sensitive information, manual SMS actions can serve as an approval stepThis allows designated individuals to review and authorize specific actions before proceeding3Verification and Validation: Adding a manual SMS action can be useful for verifying or validating certain informationFor example, you might send an automated SMS to customers with a link to confirm their subscription or verify their contact detailsThe manual step would involve someone reviewing the responses received and taking appropriate actions4Complex Workflows: In complex workflows where multiple systems or teams are involved, manual SMS actions can act as checkpointsThey provide an opportunity for human intervention to ensure that everything is functioning correctly or to handle exceptional cases that may require individual attention5Time-Sensitive Information: Manual SMS actions can be helpful when you need to send time-sensitive information that requires immediate attentionBy manually triggering an SMS, you can ensure that the message reaches the recipients promptly and that any necessary actions are taken promptlyOverall, manual SMS actions provide flexibility, allowing you to combine automated processes with human involvementThey enable you to add personalization, decision-making capabilities, and adaptability to your workflows, ensuring better customer experiences and more effective management of complex scenariosHow to Set Up Manual SMS Action in Workflows Where and how to use Manual Actions on the Mobile App Click on the hamburger menu Click on ""Manual Actions"" The blue ""PLAY"" button will display the pending manual actions If this is a manual call, the call pop-up will appear, and you can select an option based on how your call went, which will be reflected in your call reportingHow can manual call statistics be utilized in workflows? After making a manual call, a pop-up displays various call options in the systemYou can utilize this action to trigger workflowsBy selecting the manual call status , the workflow will be activated accordinglyHow to add a Manual SMS action in a Campaigns (Will be Depricated) Please Note: Please be aware that campaigns and triggers will no longer be supported in the futureWe recommend switching over to workflows, as they provide a much more powerful experienceThese features (Campaigns & Triggers) will be depricated TBDFAQ Where do users go to complete manual actions? Desktop App: Manual actions are located under the Conversation tab > Manual Actions Mobile App: Manual actions are located under the Conversation tab > Manual ActionsSee here"
Masking Sender Emails - From Name & Address,"Note: Now that Workflows are live in all accounts, you can do everything that Triggers and Campaigns do (and more!), all in one builder! Click to learn more about WorkflowsCovered in this article: Which sender email should the leads be getting the emails from? How to check if the contacts are assigned or unassigned Places you can configure the sender email - Manual email Conversation tab Places you can configure the sender email - Automated email Email template Bulk action - Send Email Workflow Send Email Action Campaign configuration Triggers - Send email action Which sender email should the leads be getting the emails from? Cases Unassigned Contact Assigned Contact Manual Emails Logged in user email 1st priority 1st priority Location Email N/A N/A Assigned User Email N/A N/A Agency Email N/A N/A Automated Emails Campaign/workflow settings 1st priority 1st priority Assigned User Email N/A 2nd priority Location Email 2nd priority 3rd priority Agency Email 3rd priority 4th priority Review Request Emails We will always use the Logged in user email as the sender email Appointment request emails (calendar settings->3Confirmation) We will use do-not-reply@replies.domain.com depending on the Mailgun subdomain you set up for the location, or the SMTP integrated email If you are using Mailgun/LC Email, we will use the Business email here if the lead is not assigned: How to check if the contacts are assigned or unassigned Search for the contact in the Smart Lists tab Search Conversations -> Click on the icon on the right to view the Contact Details Check who is assigned to the contact here: Places you can configure the sender's email - Manual email Conversation tab The From email will be the user logged in email by default: However, if you have 2-way email sync set up, the email will show the integrated email: How to Set Up Two Way Email Sync for Gmail Two Way Email Sync for Outlook Places you can configure the sender's email - Automated email Email template Click on Marketing > Emails > Templates > +New Bulk action - Send Email Click Contacts ->Smart Lists -> Select Contacts -> Click Send Email Add the From Name and From Email Workflow settings Click Automation -> Workflows -> Create Workflow Select Start from scratch and click Create new workflow: Click Settings -> Configure Sender Address Workflow Send Email Action Click on the + button > Select the ""Send Email"" option Enter the From Name and From Email FAQs 1Why is the From email for outlook always look long and strange? This is an issue with how Outlook displays the sender's informationIf you send this email to gmail.com, it will show the sender's information correctly in GsuiteLearn more about how to Hide ""sent by"" information in Outlook 2How to remove send via information in Gmail? Make sure to use the same sender email domain that matches the Mailgun domain you set upLearn more about the Extra info next to sender’s name"
SEO Meta Data,"Enhance your website's visibility and performance with HighLevel's SEO Meta Data Suggester. This powerful tool provides recommendations for optimizing your website's title tags, meta descriptions, and keywords to help improve search engine rankings. Improve your site's SEO with actionable insights for each page, ensuring you put your best foot forward to reach your target audience more effectively. More Tutorials from the Community https://youtu.be/tMGYl4AEaHM https://youtu.be/wlXwLJalKMY https://youtu.be/mfcbHYsLNqw https://youtu.be/_ObpG-V_e7A"
Element Duplication Efficiency (Global Templates),Clone elements within your funnel to save time Edit: You can now use the Global and Template sections to save more time & effort and have the changes reflect across all pages in one click. Learn more about Global Sections by going to https://help.gohighlevel.com/support/discussions/topics/48000559842
How to import a Funnel From ClickFunnels?,"The ClickFunnels to GoHighLevel importer is useful for individuals or businesses looking to switch from ClickFunnels to GoHighLevel and want to migrate their existing funnels and pages without rebuilding them from scratch. It could save significant time and effort, particularly for those with many funnels or pages to transfer. Please Note: - This importer is designed for ClickFunnels 1.0. However, please note that the ClickFunnels 2.0 importer has not been developed yet. - Plase ensure that you utilize the publishable (live) link, and not the shareable click funnel link. It's essential to import one Funnel Step at a time from ClickFunnels for a seamless experience. Covered in this Article How to import a click funnel page into the high-level funnel builder? Step 1: Access the template list view Step 2: Click on funnels Step 3: Create a new funnel Step 4: New step How to import a click funnel page into the high-level funnel builder? Step 1: Click on Sites Step 2: Click on Funnels Step 3: Click on ""New Funnel"" Step 4: Click on ""Add a new step Step 1: Access the template list view Explain the relevant actions to be performed. The click funnel import will only work within funnels. Step 3: Create a new funnel Explain the actions under this step. Add the name and click ""Create funnel."" Step 4: New step Click on ""Add new step."" Add the name for the page, path, and Clickfunnels link, mark the confirm checkbox, and click ""create funnel step."""
Become A HighLevel Affiliate,"Earn Recurring Income By Becoming A HighLevel Affiliate! Let's Grow Together! Here's the scoop... The HighLevel affiliate program pays out a 40% monthly recurring commission for every paying agency customer you send us (we call this a ""Tier 1"" affiliate). Additionally, HighLevel pays out an additional 5% monthly recurring commission for every paying agency signed up by an agency that you signed up (we call this a ""Tier 2"" affiliate). So if you send us an agency customer who goes on the Agency Unlimited plan at $297/month, we'll send you $118.80 every month they remain a customer! The HighLevel Affiliate Program is an incredible way for marketing agencies to open up a new revenue stream that's basically 100% margin. - Shaun Clark, CEO HighLevel You Can Get Started Today! You already know the power of HighLevel. You're already telling your colleagues about it; so why not earn extra income for sharing? Open up a new revenue stream for your agency by sharing something that you already know and love. It's easy! Get started by visiting our NEW Affiliate portal guide! If you are not a HighLevel customer/Agency Owner but would still want to become an affiliate you can register here - https://gohighlevel.firstpromoter.com/ The Affiliate Policy It's important that you review & understand the HighLevel Affiliate Policy, which you can find at: https://www.gohighlevel.com/affiliate-policy"
Reputation Management - How to Customize the Review Request Messages (SMS/Email)," In this article, we will cover how to turn on and customize the review messages for Email/ SMS review requests. This can be found in the sub-account Settings > Reputation Management tab Covered in this article: How to set up and customize your review request emails/SMS How to add a different review URL to your review request How to enable (Toggle on) the review request feature throughout the sub-account Areas within the CRM where you can send review requests: How to set up and customize your review request emails/SMS Please Note: All location users regardless of admin or user permissions will recieve a system generated review email every time a new review comes in - See system generated email example here How to add a different review URL to your review request How to enable (Toggle on) the review request feature throughout the sub-account Please toggle the ""Customize Review SMS"" and ""Customize Review Email"" Related Articles: Different ways to send review requests within the CRM How to Dispute a Google Review and Check on the Dispute Status Reputation - Breaking Down the Reviews Tab "
